easternoregon|Eastern Oregon
embryriddleaz|Embry-Riddle (AZ)
evangelmo|Evangel (Mo.)
evergreenwa|Evergreen (WA)
faulkneral|Faulkner (AL)
fisherma|Fisher (MA)
fisktn|Fisk (TN)
floridacollegefl|Florida College (FL)
floridamemorialfl|Florida Memorial
freedhardemantn|Freed-Hardeman (Tenn.)
friendsks|Friends (KS)
georgetown|Georgetown (Ky.)
goshenin|Goshen (IN)
graceind|Grace (Ind.)
graceland|Graceland
grandview|Grand View
