18:31:51 [INFO] Batch: 14 NCAA D3 teams
18:31:51 [INFO] Fetching all D3 scoreboards for the season...
18:31:51 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/schedule-alt/basketball-men/d3/2026 "HTTP/1.1 200 OK"
18:31:51 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/schedule-alt/basketball-men/d3/2026 "200"
18:31:51 [INFO]   Found 113 game dates for d3
18:31:52 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d3/2025/11/03 "HTTP/1.1 200 OK"
18:31:52 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d3/2025/11/03 "200"
18:31:52 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d3/2025/11/04 "HTTP/1.1 200 OK"
18:31:52 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d3/2025/11/04 "200"
18:31:53 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d3/2025/11/05 "HTTP/1.1 200 OK"
18:31:53 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d3/2025/11/05 "200"
18:31:54 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d3/2025/11/06 "HTTP/1.1 200 OK"
18:31:54 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d3/2025/11/06 "200"
18:31:54 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d3/2025/11/07 "HTTP/1.1 200 OK"
18:31:54 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d3/2025/11/07 "200"
18:31:55 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d3/2025/11/08 "HTTP/1.1 200 OK"
18:31:55 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d3/2025/11/08 "200"
18:31:56 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d3/2025/11/09 "HTTP/1.1 200 OK"
18:31:56 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d3/2025/11/09 "200"
18:31:57 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d3/2025/11/10 "HTTP/1.1 200 OK"
18:31:57 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d3/2025/11/10 "200"
18:31:57 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d3/2025/11/11 "HTTP/1.1 200 OK"
18:31:57 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d3/2025/11/11 "200"
18:31:58 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d3/2025/11/12 "HTTP/1.1 200 OK"
18:31:58 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d3/2025/11/12 "200"
18:31:59 [INFO] HTTP Request: GET https://ncaa-api.henrygd.me/scoreboard/basketball-men/d3/2025/11/13 "HTTP/1.1 200 OK"
